A3GALT2	1p35.1	U3KPV4	A3LT2_HUMAN		Alpha-1,3-galactosyltransferase 2 (EC 2.4.1.87) (Isoglobotriaosylceramide synthase) (iGb3 synthase) (iGb3S) [A3GALT2P] [IGBS3S]
AADACL3	1p36.21	Q5VUY0	ADCL3_HUMAN		Arylacetamide deacetylase-like 3 (EC 3.1.1.-)
AADACL4	1p36.21	Q5VUY2	ADCL4_HUMAN		Arylacetamide deacetylase-like 4 (EC 3.1.1.-)
ABCA4	1p21-p22.1	P78363	ABCA4_HUMAN	601691	
ABCB10	1q42	Q9NRK6	ABCBA_HUMAN	605454	
ABCD3	1p21-p22	P28288	ABCD3_HUMAN	170995	
ABL2	1q24-q25	P42684	ABL2_HUMAN	164690	
ACADM	1p31	P11310	ACADM_HUMAN	607008	
ACAP3	1p36	Q96P50	ACAP3_HUMAN		Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 3 (Centaurin-beta-5) (Cnt-b5) [CENTB5] [KIAA1716]
ACBD3	1q42.12	Q9H3P7	GCP60_HUMAN	606809	
ACBD6	1q25.3	Q9BR61	ACBD6_HUMAN	616352	
ACKR1	1q21-q22	Q16570	ACKR1_HUMAN	613665	
ACOT11	1p32.3	Q8WXI4	ACO11_HUMAN	606803	
ACOT7	1p36.2	O00154	BACH_HUMAN	602587	
ACP6	1q21	Q9NPH0	PPA6_HUMAN	611471	
ACTA1	1q42.13-q42.2	P68133	ACTS_HUMAN	102610	
ACTL8	1p36.2-p35	Q9H568	ACTL8_HUMAN		Actin-like protein 8 (Cancer/testis antigen 57) (CT57)
ACTN2	1q42-q43	P35609	ACTN2_HUMAN	102573	
ACTRT2	1p36.3	Q8TDY3	ACTT2_HUMAN	608535	
ADAM15	1q21.3	Q13444	ADA15_HUMAN	605548	
ADAM30	1p11-p13	Q9UKF2	ADA30_HUMAN	604779	
ADAMTS4	1q21-q23	O75173	ATS4_HUMAN	603876	
ADAMTSL4	1q21.2	Q6UY14	ATL4_HUMAN	610113	
ADAMTSL4-AS1	1q21.2	Q5T5F5	A4AS1_HUMAN		Uncharacterized protein ADAMTSL4-AS1 (ADAMTSL4 antisense RNA 1) (ADAMTSL4 antisense gene protein 1) [C1orf138]
ADAR	1q21.1-q21.2	P55265	DSRAD_HUMAN	146920	
ADCY10	1q24	Q96PN6	ADCYA_HUMAN	605205	
ADGRB2	1p35	O60241	AGRB2_HUMAN	602683	
ADGRL2	1p31.1	O95490	AGRL2_HUMAN	607018	
ADGRL4	1p33-p32	Q9HBW9	AGRL4_HUMAN	616419	
ADIPOR1	1p36.13-q41	Q96A54	PAQR1_HUMAN	607945	
ADORA1	1q32.1	P30542	AA1R_HUMAN	102775	
ADORA3	1p13.2	P0DMS8	AA3R_HUMAN	600445	
ADPRS	1p34.3	Q9NX46	ADPRS_HUMAN	610624	
ADSS2	1cen-q12	P30520	PURA2_HUMAN	103060	
AGBL4	1p33	Q5VU57	CBPC6_HUMAN	616476	
AGL	1p21	P35573	GDE_HUMAN	610860	
AGMAT	1p36.13	Q9BSE5	SPEB_HUMAN	617887	
AGO1	1p34-p35	Q9UL18	AGO1_HUMAN	606228	
AGO3	1p34.3	Q9H9G7	AGO3_HUMAN	607355	
AGO4	1p34	Q9HCK5	AGO4_HUMAN	607356	
AGRN	1p36.33	O00468	AGRIN_HUMAN	103320	
AGT	1q42-q43	P01019	ANGT_HUMAN	106150	
AGTRAP	1p36	Q6RW13	ATRAP_HUMAN	608729	
AHCTF1	1q44	Q8WYP5	ELYS_HUMAN	610853	
AHCYL1	1p13.2	O43865	SAHH2_HUMAN	607826	
AHDC1	1p36.13	Q5TGY3	AHDC1_HUMAN	615790	
AIDA	1q41	Q96BJ3	AIDA_HUMAN	612375	
AIM2	1q22	O14862	AIM2_HUMAN	604578	
AJAP1	1p36.32	Q9UKB5	AJAP1_HUMAN	610972	
AK2	1p34	P54819	KAD2_HUMAN	103020	
AK4	1p31.3	P27144	KAD4_HUMAN	103030	
AK5	1p31	Q9Y6K8	KAD5_HUMAN	608009	
AKIRIN1	1p34.3	Q9H9L7	AKIR1_HUMAN	615164	
AKNAD1	1p13.3	Q5T1N1	AKND1_HUMAN		Protein AKNAD1 [C1orf62]
AKR1A1	1p32-p33	P14550	AK1A1_HUMAN	103830	
AKR7A2	1p35.1-p36.1	O43488	ARK72_HUMAN	603418	
AKR7A3	1p35.1-p36.1	O95154	ARK73_HUMAN	608477	
AKR7L	1p35.1-p36.1	Q8NHP1	ARK74_HUMAN	608478	
AKT3	1q43-q44	Q9Y243	AKT3_HUMAN	611223	
ALDH4A1	1p36	P30038	AL4A1_HUMAN	606811	
ALDH9A1	1q23.1	P49189	AL9A1_HUMAN	602733	
ALG14	1p21.3	Q96F25	ALG14_HUMAN	612866	
ALG6	1p31.3	Q9Y672	ALG6_HUMAN	604566	
ALPL	1p34-p36.1	P05186	PPBT_HUMAN	171760	
ALX3	1p13-p21	O95076	ALX3_HUMAN	606014	
AMIGO1	1p13.3	Q86WK6	AMGO1_HUMAN	615689	
AMPD1	1p13	P23109	AMPD1_HUMAN	102770	
AMPD2	1p13.3	Q01433	AMPD2_HUMAN	102771	
AMY1A	1p21	P0DUB6	AMY1A_HUMAN	104702	
AMY1B	1p21	P0DTE7	AMY1B_HUMAN	104701	
AMY1C	1p21	P0DTE8	AMY1C_HUMAN	104702	
AMY2A	1p21	P04746	AMYP_HUMAN	104650	
AMY2B	1p21	P19961	AMY2B_HUMAN	104660	
ANGEL2	1q32.3	Q5VTE6	ANGE2_HUMAN	619001	
ANGPTL1	1q25.2	O95841	ANGL1_HUMAN	603874	
ANGPTL3	1p22.3-p31.3	Q9Y5C1	ANGL3_HUMAN	604774	
ANGPTL7	1p36.2-p36.3	O43827	ANGL7_HUMAN	618517	
ANKRD13C	1p31.3-p32.3	Q8N6S4	AN13C_HUMAN	615125	
ANKRD20A12P	1q12	Q8NF67	A2012_HUMAN		Putative ankyrin repeat domain-containing protein 20A12 pseudogene
ANKRD34A	1q21.1	Q69YU3	AN34A_HUMAN		Ankyrin repeat domain-containing protein 34A [ANKRD34]
ANKRD35	1q21.1	Q8N283	ANR35_HUMAN		Ankyrin repeat domain-containing protein 35
ANKRD36BP1	1q24.2	Q96IX9	A26L1_HUMAN		Putative ankyrin repeat domain-containing protein 26-like 1 (Ankyrin repeat domain-containing protein 36B pseudogene 1) [ANKRD26L1]
ANKRD45	1q25.1	Q5TZF3	ANR45_HUMAN	618712	
ANKRD65	1p36.33	E5RJM6	ANR65_HUMAN		Ankyrin repeat domain-containing protein 65
ANP32E	1q21.3	Q9BTT0	AN32E_HUMAN	609611	
ANXA9	1q21	O76027	ANXA9_HUMAN	603319	
AP4B1	1p11.1	Q9Y6B7	AP4B1_HUMAN	607245	
APCS	1q21-q23	P02743	SAMP_HUMAN	104770	
APH1A	1q21-q22	Q96BI3	APH1A_HUMAN	607629	
APOA2	1q21-q23	P02652	APOA2_HUMAN	107670	
APOBEC4	1q25.3	Q8WW27	ABEC4_HUMAN	609908	
AQP10	1q21.2	Q96PS8	AQP10_HUMAN	606578	
ARF1	1q42	P84077	ARF1_HUMAN	103180	
ARHGAP29	1p22.1	Q52LW3	RHG29_HUMAN	610496	
ARHGAP30	1q23.3	Q7Z6I6	RHG30_HUMAN	614264	
ARHGEF10L	1p36.13	Q9HCE6	ARGAL_HUMAN	612494	
ARHGEF11	1q21	O15085	ARHGB_HUMAN	605708	
ARHGEF16	1p36.3	Q5VV41	ARHGG_HUMAN	618871	
ARHGEF19	1p36.13	Q8IW93	ARHGJ_HUMAN	612496	
ARHGEF2	1q21-q22	Q92974	ARHG2_HUMAN	607560	
ARID1A	1p35.3	O14497	ARI1A_HUMAN	603024	
ARID4B	1q42.1-q43	Q4LE39	ARI4B_HUMAN	609696	
ARL8A	1q32.1	Q96BM9	ARL8A_HUMAN	616597	
ARMH1	1p34.1	Q6PIY5	ARMD1_HUMAN		Armadillo-like helical domain containing protein 1 (p40) [C1orf228] [NCRNA00082]
ARNT	1q21	P27540	ARNT_HUMAN	126110	
ARPC5	1q24.3	O15511	ARPC5_HUMAN	604227	
ARTN	1p33-p32	Q5T4W7	ARTN_HUMAN	603886	
ARV1	1q42.2	Q9H2C2	ARV1_HUMAN	611647	
ASAP3	1p36.12	Q8TDY4	ASAP3_HUMAN	616594	
